article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://interactive/bdfc940c-974f-5eaa-a080-898a0169a160,2018/11/19,2018-47,b'100 Notable Books of 2018',https://www.nytimes.com/interactive/2018/11/19/books/review/100-notable-books.html,"The year’s notable fiction, poetry and nonfiction, selected by the editors of The New York Times Book Review.",0.055555556,0,0,0,0,0.055555556,0,0,0,0.055555556
nyt://article/65c9605f-02c2-57c2-842c-da8977a2aa4a,2018/11/20,2018-47,b'Somali Workers in Minnesota Force Amazon to Negotiate',https://www.nytimes.com/2018/11/20/technology/amazon-somali-workers-minnesota.html,"Soon after Hibaq Mohamed immigrated to Minneapolis from Kenya, where she had been living as a refugee, in 2016 she got a job at a new Amazon warehouse near the city. At first, she enjoyed packing boxes for delivery to consumers. ",0,0,0,0,0,0.048780488,0.024390244,0,0,0
nyt://article/f5f28efa-7960-5757-9939-15eb7848bb2f,2018/11/21,2018-47,b'Why Amazon Wants to Buy 22 Regional Sports Networks',https://www.nytimes.com/2018/11/21/business/dealbook/amazon-sports-networks.html,Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________,0.05,0,0,0,0,0.15,0,0,0,0
nyt://article/a11f0c2b-3df2-5275-bdb3-d930ee79c167,2018/11/22,2018-47,b'Amazon Lifts Ban on Australians Shipping From Its Main Site',https://www.nytimes.com/2018/11/21/world/australia/amazon-australia-access-website.html,"SYDNEY, Australia — Amazon will grant Australians access to products from its main website, walking back a decision made earlier this year that angered its customers in the country.",0.034482759,0,0,0,0,0.068965517,0.034482759,0,0,0.034482759
nyt://article/03974179-3503-5aec-80f2-91a6b0ad5667,2018/12/10,2018-50,b'Amazon\xe2\x80\x99s Homegrown Chips Threaten Silicon Valley Giant Intel',https://www.nytimes.com/2018/12/10/technology/amazon-server-chip-intel.html,"Amazon, the world’s largest online retailer and largest cloud-computing company, is pushing into a new line of work: computer chips.",0,0,0,0,0,0,0,0,0,0
nyt://article/5aaa04c8-3175-519b-a5a3-7863df7d8b60,2018/12/12,2018-50,b'Amazon Hires Lobbyists for N.Y. Site and Tries to Fend Off Ocasio-Cortez\xe2\x80\x99s Supporters',https://www.nytimes.com/2018/12/11/nyregion/amazon-queens-lobbyists.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/8e264090-40dc-5e7f-b87b-76ba9cba59bc,2018/12/12,2018-50,b'High-Tech Degrees and the Price of an Avocado: The Data New York Gave to Amazon',https://www.nytimes.com/2018/12/12/technology/amazon-new-york-hq2-data.html,"[Updated Feb. 14: Amazon said it was canceling plans to build a corporate campus in New York City, after the deal had run into fierce opposition from local lawmakers who criticized providing subsidies to one of the world’s most valuable companies.]",0.048780488,0.048780488,0.024390244,0,0.024390244,0.097560976,0.048780488,0.024390244,0.048780488,0.048780488
nyt://article/9bbe8e20-6339-55b2-9cca-a97a986bb9c7,2018/12/27,2018-52,b'Amazon Sees in Brazil Continent-Size Profits and Problems',https://www.nytimes.com/2018/12/27/world/americas/amazon-brazil-expansion.html,"SÃO PAULO, Brazil — Its market value briefly surpassed $1 trillion. It has transformed online shopping. And it has had North American cities holding out billions to deliver its new outposts to their doors.",0,0,0,0,0,0,0,0,0,0
nyt://article/1faaabeb-51fe-5f7b-9e5d-84e3a06cebad,2018/12/27,2018-52,b'An \xe2\x80\x98Amazon Effect\xe2\x80\x99 on Queens Real Estate? Here\xe2\x80\x99s Why Brokers Say It\xe2\x80\x99s Real',https://www.nytimes.com/2018/12/27/nyregion/amazon-queens-real-estate.html,[What you need to know to start your day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/867e6b3d-9462-5c0d-a7fe-db7e2c26d558,2019/1/4,2019-01,b'The Week in Tech: Amazon\xe2\x80\x99s Burning Problems',https://www.nytimes.com/2019/01/04/technology/amazon-problems.html,"Each week, technology reporters and columnists from The New York Times review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. Want this newsletter in your inbox? Sign up here.",0.048780488,0,0,0,0,0.048780488,0,0,0.024390244,0
nyt://article/cf84ee18-6dd6-50f8-8a03-ec1b82b7c86a,2019/1/20,2019-03,b'Amazon Knows What You Buy. And It\xe2\x80\x99s Building a Big Ad Business From It.',https://www.nytimes.com/2019/01/20/technology/amazon-ads-advertising.html,"SEATTLE — When a chain of physical therapy centers wanted new patients, it aimed online ads at people near its offices who had bought knee braces recently on Amazon.",0,0,0,0,0,0,0,0,0,0
nyt://article/aea0a16b-a3f8-58bb-85d5-7ac588481b38,2019/1/29,2019-05,b'Bolsonaro Wants to Plunder the Amazon. Don\xe2\x80\x99t Let Him.',https://www.nytimes.com/2019/01/29/opinion/bolsonaro-wants-to-plunder-the-amazon-dont-let-him.html,The rise of President Jair Bolsonaro of Brazil has put the environment and human rights in peril. His promises to open the Amazon for business could result in huge deforestation and the release of vast greenhouse-gas emissions. His threats to slash fundamental environmental and indigenous rights standards that help keep the Amazon standing are a threat to climate stability. ,0.016949153,0.033898305,0,0,0.016949153,0.033898305,0.016949153,0,0.016949153,0
nyt://article/b74a6e14-5db0-5bba-bb27-a700145b7a67,2019/1/30,2019-05,b'Amazon Has a New Strategy to Sway Skeptics in New York',https://www.nytimes.com/2019/01/29/nyregion/amazon-new-york-long-island-city.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/9d970b25-2ebf-5327-9508-aae5ba35b7d2,2019/2/1,2019-05,"b'Amazon\xe2\x80\x99s Sales Growth Slows, Even as Cloud Business Stays Hot'",https://www.nytimes.com/2019/01/31/technology/amazon-earnings-sales-cloud.html,"SEATTLE — Amazon held off stiffer competition for online shoppers during the holiday season, once again increasing its sales. But the company said on Thursday that growth slowed from its usual breakneck pace — and it came at a cost, with the company spending far more on shipping to win customers.",0.019607843,0,0,0,0,0.058823529,0.039215686,0,0.039215686,0.019607843
nyt://article/b6e35f6c-ff3b-5803-b38b-3f0f32c93268,2019/2/7,2019-06,b'Woody Allen Sues Amazon Over Canceled $68 Million Deal',https://www.nytimes.com/2019/02/07/movies/woody-allen-amazon-lawsuit.html,"Woody Allen sued Amazon in federal court on Thursday, seeking at least $68 million and saying that the company’s streaming service had improperly backed out of a four-movie deal because of a renewed focus on allegations of sexual abuse on Allen’s part.",0.023809524,0.047619048,0.023809524,0.023809524,0.047619048,0.047619048,0.047619048,0.023809524,0.023809524,0.023809524
nyt://article/edcce8b6-a872-561b-b3a8-a206f04ed4bd,2019/2/8,2019-06,b'Amazon HQ2 Deal Stirs New Tensions in New York',https://www.nytimes.com/2019/02/08/nyregion/amazon-hq.html,[Update: Amazon said it was canceling plans to build a corporate campus in New York City.],0,0,0,0,0,0.0625,0,0,0,0
nyt://article/cd7a167c-57f8-559d-ba3b-d4971ec2c4f5,2019/2/12,2019-07,b'New York Needs Amazon',https://www.nytimes.com/2019/02/12/opinion/amazon-hq2-new-york.html,"On Nov. 13, 2018, Amazon announced that New York would become one of two locations for the company’s second North American headquarters, ending a competition that had involved more than 200 places, including cities as diverse as Chicago, Atlanta, Denver, Newark and Austin, Tex. But there was hardly any cheering in New York. State Senator Michael Gianaris and other leaders protested that the agreement was bad for New York and bad for its people. They argued that it is absurd for city and state taxpayers to subsidize one of the world’s most valuable companies, owned by the world’s richest man, with as much as $3 billion in taxpayer money.",0.009174312,0.018348624,0.018348624,0.018348624,0.018348624,0.04587156,0.009174312,0,0.04587156,0.009174312
nyt://article/2e6e8fea-a5ef-5995-b841-e529d53209e0,2019/2/13,2019-07,b'Can a Progressive Case Be Made for a Amazon Campus in Queens?',https://www.nytimes.com/2019/02/13/nyregion/amazon-hq2-deal-approval.html,[Update: Amazon said on Thursday that it was canceling plans to build a corporate campus in New York City.],0,0,0,0,0,0.052631579,0,0,0,0
nyt://article/4e50ad46-c579-5e5b-8798-2c6031b519d0,2019/2/14,2019-07,b'Amazon\xe2\x80\x99s Exit Forces a Reckoning for N.Y. Political Leaders',https://www.nytimes.com/2019/02/14/nyregion/cuomo-aoc-amazon.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/62999cda-6ed5-5344-9be8-fc307ccf0a61,2019/2/14,2019-07,"b'For Once, Amazon Loses a Popularity Contest'",https://www.nytimes.com/2019/02/14/business/amazon-new-york-city.html,"Amazon’s surprise announcement on Thursday that it was canceling its planned expansion to a new corporate campus in New York was greeted with celebration by local activists and politicians who had opposed the deal, and frustration by local officials — and more than a few real estate agents in Queens — who had eagerly anticipated an influx of well-compensated tech workers.",0.032786885,0.032786885,0,0,0.032786885,0.049180328,0.032786885,0.032786885,0.032786885,0.032786885
nyt://article/4424f094-2ba1-5102-803c-4a952039cb44,2019/2/14,2019-07,"b'In the End, Amazon Didn\xe2\x80\x99t Win Its Own Subsidy Game'",https://www.nytimes.com/2019/02/14/upshot/amazon-foxconn-subsidies-critics.html,"In exchange for tens of thousands of tech jobs, cities promised Amazon the moon — and an airport lounge, and naming rights, and a chance to pocket its own employees’ taxes. States offered incentive packages worth $7 billion, $8.5 billion, $9.7 billion, any of which would have set records.",0.020408163,0,0,0,0,0.040816327,0.020408163,0.020408163,0,0
nyt://article/899004ab-3cc2-5241-8509-ab5ada152e9d,2019/2/14,2019-07,b'Amazon Pulls Out of Planned New York City Headquarters',https://www.nytimes.com/2019/02/14/nyregion/amazon-hq2-queens.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/bb53c02b-2f70-5b21-8f95-4db455638704,2019/2/14,2019-07,b'What People Are Saying About Amazon\xe2\x80\x99s Breakup With New York City',https://www.nytimes.com/2019/02/14/nyregion/amazon-reaction-quotes-ny.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/f6bbdc19-5627-517b-ada9-f1d113cc7c8f,2019/2/15,2019-07,"b'Amazon and New York Unions Had \xe2\x80\x98Productive Meeting,\xe2\x80\x99 Then Came a Shock'",https://www.nytimes.com/2019/02/14/business/economy/amazon-union-cuomo.html,"When Amazon announced Thursday that it was abandoning plans for an additional corporate headquarters in New York, no one was more surprised than the union leaders who were in talks with the company the day before.",0,0,0,0,0,0,0,0.027777778,0,0
nyt://article/7b4e2f22-29ad-59e9-b189-f9ac90da167f,2019/2/15,2019-07,"b'New York Returns 25,000 Jobs to Amazon'",https://www.nytimes.com/2019/02/14/opinion/amazon-new-york.html,"“You have to be tough to make it in New York City,” Mayor Bill de Blasio boasted, choosing to jeer at Amazon as it canceled its plans on Thursday to build a new headquarters in Queens, after some local officials angrily criticized its proposal. ",0,0,0,0.022727273,0,0.022727273,0,0,0.022727273,0
nyt://article/e8f11fbf-5596-549a-bb70-afe2e96472d4,2019/2/15,2019-07,"b'Northern Virginia Is Keeping Amazon\xe2\x80\x99s 25,000 Jobs, and Wants You to Know It'",https://www.nytimes.com/2019/02/15/technology/amazon-virginia-crystal-city.html,"WASHINGTON — When Amazon canceled its plans to build an expansive corporate campus in New York City this week, officials more than 200 miles away in Northern Virginia decided to make a statement.",0,0,0,0,0,0.03030303,0,0,0,0
nyt://article/1016cca8-909e-5f67-8abd-ee8f8b5f3907,2019/2/15,2019-07,b'Why the Amazon Deal Collapsed: A Tech Giant Stumbles in N.Y.\xe2\x80\x99s Raucous Political Arena',https://www.nytimes.com/2019/02/15/nyregion/amazon-hq2-nyc.html,"A senior executive from Amazon, one of the world’s biggest companies, found himself last weekend in a showdown with a suburban state senator.",0.043478261,0,0,0,0,0.043478261,0,0,0,0.043478261
nyt://article/54b61e6a-27fd-5bea-8d41-912bf2a10ec5,2019/2/16,2019-07,b'Amazon Bails and New York Reacts: The City \xe2\x80\x98Was Never Really On Board\xe2\x80\x99',https://www.nytimes.com/2019/02/15/nyregion/amazon-new-york-reaction.html,"Like seemingly every New Yorker, Adrianne Santiago was eager to weigh in on Amazon’s decision to abandon its plans to build a vast campus in Queens and create more than 25,000 jobs.",0.0625,0,0,0.03125,0.03125,0.09375,0.0625,0.03125,0.03125,0.0625
