Date,Open,High,Low,Close,Adj Close,Volume
4/5/2019,176.880005,177,175.100006,175.720001,175.720001,9594100
4/8/2019,175.210007,175.5,174.229996,174.929993,174.929993,7297400
4/9/2019,175.619995,179.190002,175.550003,177.580002,177.580002,19751000
4/10/2019,178.179993,178.789993,176.539993,177.820007,177.820007,11701500
4/11/2019,178.240005,178.399994,177,177.509995,177.509995,8071000
4/12/2019,178,179.630005,177.949997,179.100006,179.100006,12329800
4/15/2019,178.5,180.5,176.869995,179.649994,179.649994,10834800
4/16/2019,179,180.169998,178.300003,178.869995,178.869995,11215200
4/17/2019,179.600006,180.740005,178.360001,178.779999,178.779999,9973700
4/18/2019,178.800003,178.880005,177.339996,178.279999,178.279999,11655600
4/22/2019,178.25,181.669998,178.25,181.440002,181.440002,13389900
4/23/2019,182.740005,184.220001,181.479996,183.779999,183.779999,19954800
4/24/2019,184.490005,185.139999,181.649994,182.580002,182.580002,37289900
4/25/2019,196.979996,198.479996,192.119995,193.259995,193.259995,54148800
4/26/2019,192.5,192.899994,189.089996,191.490005,191.490005,22075000
4/29/2019,190.949997,195.410004,190.649994,194.779999,194.779999,19641300
4/30/2019,194.190002,197.389999,192.279999,193.399994,193.399994,23494700
5/1/2019,194.779999,196.179993,193.009995,193.029999,193.029999,15996600
5/2/2019,193,194,189.75,192.529999,192.529999,13209500
5/3/2019,194.380005,196.160004,193.710007,195.470001,195.470001,14575400
5/6/2019,191.240005,194.279999,190.550003,193.880005,193.880005,13994900
5/7/2019,192.539993,192.899994,187.850006,189.770004,189.770004,16253000
5/8/2019,189.389999,190.720001,188.550003,189.539993,189.539993,12505700
5/9/2019,187.199997,189.770004,186.259995,188.649994,188.649994,12967000
5/10/2019,188.25,190,184.589996,188.339996,188.339996,12578500
5/13/2019,183.5,185.429993,180.839996,181.539993,181.539993,16833300
5/14/2019,182.520004,183.490005,178.100006,180.729996,180.729996,17628100
5/15/2019,180.419998,187.279999,180.020004,186.270004,186.270004,16746900
5/16/2019,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
5/17/2019,184.839996,187.580002,184.279999,185.300003,185.300003,10485400
5/20/2019,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
5/21/2019,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
5/22/2019,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
5/23/2019,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
5/24/2019,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
5/28/2019,181.539993,184.710007,181.449997,184.309998,184.309998,14843300
5/29/2019,183.5,184.559998,181.350006,182.190002,182.190002,12797700
5/30/2019,183.080002,183.479996,180.889999,183.009995,183.009995,8581500
5/31/2019,180.279999,180.539993,177.160004,177.470001,177.470001,15226500
6/3/2019,175,175.050003,161.009995,164.149994,164.149994,56059600
6/4/2019,163.710007,168.279999,160.839996,167.5,167.5,46044300
6/5/2019,167.479996,168.720001,164.630005,168.169998,168.169998,19758300
6/6/2019,168.300003,169.699997,167.229996,168.330002,168.330002,12446400
6/7/2019,170.169998,173.869995,168.839996,173.350006,173.350006,16917300
6/10/2019,174.75,177.860001,173.800003,174.820007,174.820007,14767900
6/11/2019,178.479996,179.979996,176.789993,178.100006,178.100006,15266600
6/12/2019,178.380005,179.270004,172.880005,175.039993,175.039993,17681500
6/13/2019,175.529999,178.029999,174.610001,177.470001,177.470001,12253600
6/14/2019,180.509995,181.839996,180,181.330002,181.330002,16773700
6/17/2019,185.009995,189.5,184.410004,189.009995,189.009995,29459900
6/18/2019,194,194.529999,187.279999,188.470001,188.470001,37571400
6/19/2019,187,188.100006,184.550003,187.479996,187.479996,21417100
6/20/2019,190.949997,191.160004,187.639999,189.529999,189.529999,14613200
6/21/2019,188.75,192,188.75,191.139999,191.139999,22751200
