article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/4c477e59-1668-5c81-a9ef-36e826a166b7,2019/3/27 0:00,2019-13,b'Protecting Your Internet Accounts Keeps Getting Easier. Here\xe2\x80\x99s How to Do It.',https://www.nytimes.com/2019/03/27/technology/personaltech/two-step-authentication.html,"When Facebook revealed last week that it had stored millions of people’s account passwords in an insecure format, it underlined the importance of a security setting that many of us neglect to use: two-factor authentication.",0.028571429,0.028571429,0,0.028571429,0.028571429,0.028571429,0.028571429,0,0.057142857,0
nyt://article/a9038d3b-1e38-5984-9dac-18270b4a8a79,2019/4/13 0:00,2019-15,b'Google\xe2\x80\x99s Sensorvault Is a Boon for Law Enforcement. This Is How It Works.',https://www.nytimes.com/2019/04/13/technology/google-sensorvault-location-tracking.html,"Law enforcement officials across the country have been seeking information from a Google database called Sensorvault — a trove of detailed location records involving at least hundreds of millions of devices worldwide, The New York Times found. ",0,0,0,0,0,0.027027027,0,0,0.027027027,0
nyt://interactive/4b5fd733-d9ff-58ce-a5b8-f38cbd4afd7f,2019/4/13 0:00,2019-15,"b'Tracking Phones, Google Is a Dragnet for the Police'",https://www.nytimes.com/interactive/2019/04/13/us/google-location-tracking-police.html,"The tech giant records people’s locations worldwide. Now, investigators are using it to find suspects and witnesses near crimes, running the risk of snaring the innocent.",0,0,0,0,0.076923077,0,0.038461538,0,0.038461538,0
nyt://article/f1870b5f-ad71-5bbc-9500-c6d0e33408c9,2019/4/19 0:00,2019-16,b'The Real Stars of the Internet',https://www.nytimes.com/2019/04/19/style/star-ratings-amazon-uber-seamless.html,I’ve been to the bagel place down the street from my apartment maybe a hundred times. The staff is friendly. I like the food. They’re always open. ,0,0,0,0,0,0,0,0,0,0
nyt://article/6362c24f-b17d-5648-91c2-4aefb42c28de,2019/4/22 0:00,2019-17,b'Google Employees Say They Faced Retaliation After Organizing Walkout',https://www.nytimes.com/2019/04/22/technology/google-walkout-employees-retaliation.html,"SAN FRANCISCO — Two Google employees, Claire Stapleton and Meredith Whittaker, helped organize a 20,000-person walkout from the  company last November. Now they say they have paid a price for their actions.",0,0,0,0,0,0.03125,0,0,0,0
nyt://article/85243926-3df5-537a-b6bb-df3ae2f4a679,2019/4/30 0:00,2019-18,"b'Eric Schmidt to Leave Alphabet Board, Ending an Era That Defined Google'",https://www.nytimes.com/2019/04/30/business/alphabet-board-eric-schmidt-diane-greene.html,"SAN FRANCISCO — Google’s parent company, Alphabet, said Tuesday that Eric Schmidt, its former chief executive, planned to relinquish his position on the board of directors in June.",0,0,0,0,0,0,0.035714286,0,0.035714286,0
nyt://article/dc3352e2-1165-5325-a96a-9c0c6b1c69f9,2019/4/29 0:00,2019-18,"b'Alphabet Falls $1 Billion Short of Revenue Forecasts, Blaming Strong Dollar'",https://www.nytimes.com/2019/04/29/technology/alphabet-quarterly-results-2019.html,"SAN FRANCISCO — For the last three years, Google’s parent company, Alphabet, has defied what financial analysts call the law of large numbers.",0.043478261,0,0,0,0,0,0,0,0,0
nyt://article/eefc877f-98bb-5a5f-a57d-0733f699fa6f,2019/5/7 0:00,2019-19,b'Google Says It Has Found Religion on Privacy',https://www.nytimes.com/2019/05/07/technology/google-privacy-tools.html,"MOUNTAIN VIEW, Calif. — Google, the company that may know the most about our digital lives, is now preaching the gospel of privacy.",0.043478261,0,0,0,0,0.043478261,0,0,0,0
nyt://article/d33b40ea-5688-5cf7-84db-b771a7f6bdf1,2019/5/8 0:00,2019-19,b'Google\xe2\x80\x99s Sundar Pichai: Privacy Should Not Be a Luxury Good',https://www.nytimes.com/2019/05/07/opinion/google-sundar-pichai-privacy.html,"MOUNTAIN VIEW, Calif. — Google products are designed to be helpful. They take the friction out of daily life (for example, by showing you the fastest route home at the end of a long day) and give you back time to spend on things you actually want to do. We feel privileged that billions of people trust products like Search, Chrome, Maps and Android to help them every day.",0.028985507,0.014492754,0,0,0,0.014492754,0.043478261,0,0,0.014492754
nyt://article/75da905e-5fe8-5835-8816-c0141bc3d483,2019/5/14 0:00,2019-20,"b'Attention, Amazon Shoppers: Google Wants Some of Your Spending Money'",https://www.nytimes.com/2019/05/14/technology/google-shopping-amazon-rivalry.html,"SAN FRANCISCO — For years, Google and Amazon stuck to their strengths. Google’s search monopoly and universe of online services seemed to present little overlap with Amazon’s web commerce empire.",0.066666667,0,0,0,0,0.033333333,0.033333333,0.033333333,0,0.033333333
