Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,100.430000,101.470001,99.709999,100.760002,98.502831,15430700
2019-01-08,101.629997,101.820000,99.550003,100.570000,98.317078,13578800
2019-01-09,100.809998,101.489998,99.930000,100.400002,98.150894,14230300
2019-01-10,100.019997,100.730003,99.269997,100.389999,98.141113,14376100
2019-01-11,99.889999,100.169998,98.949997,99.910004,97.671875,15439900
2019-01-14,98.870003,101.360001,98.660004,100.940002,98.678802,21258500
2019-01-15,98.889999,102.470001,98.599998,101.680000,99.402214,26504900
2019-01-16,102.250000,103.449997,101.800003,102.500000,100.203842,18533000
2019-01-17,102.110001,103.500000,101.919998,102.919998,100.614433,14247600
2019-01-18,103.769997,104.900002,102.830002,104.589996,102.247025,16428700
2019-01-22,103.080002,103.589996,102.129997,102.940002,100.633995,17083700
2019-01-23,103.440002,103.699997,101.970001,102.680000,100.379814,12146700
2019-01-24,102.129997,103.089996,101.940002,102.739998,100.438469,11296800
2019-01-25,103.510002,104.309998,102.739998,103.389999,101.073914,14369400
2019-01-28,102.889999,104.239998,102.589996,103.879997,101.552933,12283100
2019-01-29,103.879997,105.110001,103.730003,104.169998,101.836433,9743300
2019-01-30,104.139999,105.239998,103.779999,104.410004,102.071068,12526300
2019-01-31,103.410004,103.800003,102.730003,103.500000,101.181450,17520600
2019-02-01,104.000000,104.849998,103.519997,103.879997,101.552933,13000800
2019-02-04,103.790001,104.250000,103.010002,104.250000,101.914642,9871500
2019-02-05,104.519997,104.550003,103.290001,103.790001,101.464951,12763000
2019-02-06,103.709999,104.620003,103.470001,103.739998,101.416069,8745000
2019-02-07,103.250000,103.500000,101.440002,102.379997,100.086525,13177500
2019-02-08,102.080002,102.339996,100.059998,101.360001,99.089386,12892600
2019-02-11,101.760002,102.010002,100.769997,100.879997,98.620132,10978500
2019-02-12,101.949997,102.919998,101.889999,102.599998,100.301605,12852300
2019-02-13,102.900002,103.849998,102.900002,103.089996,100.780632,10754100
2019-02-14,102.470001,103.099998,101.349998,102.419998,100.125633,11518500
2019-02-15,103.900002,105.699997,103.660004,105.550003,103.185524,14716900
2019-02-19,104.910004,105.370003,103.809998,105.180000,102.823807,12764900
2019-02-20,105.209999,105.800003,104.879997,105.690002,103.322388,10030300
